date,campaign_id,campaign_name,platform,impressions,clicks,spend,conversions,revenue
2026-04-01,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,120000,5500,3300.00,85,8500.00
2026-04-02,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,125000,5800,3480.00,92,9200.00
2026-04-03,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,118000,5200,3120.00,80,8000.00
2026-04-04,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,130000,6100,3660.00,100,10000.00
2026-04-05,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,115000,5000,3000.00,75,7500.00
2026-04-06,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,135000,6400,3840.00,108,10800.00
2026-04-07,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,140000,6700,4020.00,115,11500.00
2026-04-08,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,128000,6000,3600.00,98,9800.00
2026-04-09,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,122000,5500,3300.00,88,8800.00
2026-04-10,750e8400-e29b-41d4-a716-446655440001,TechStore Facebook Feed,meta,132000,6200,3720.00,105,10500.00
2026-04-01,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,95000,6000,2850.00,110,11000.00
2026-04-02,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,98000,6300,3000.00,120,12000.00
2026-04-03,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,92000,5700,2700.00,105,10500.00
2026-04-04,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,102000,6600,3150.00,130,13000.00
2026-04-05,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,90000,5400,2550.00,100,10000.00
2026-04-06,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,105000,6900,3300.00,140,14000.00
2026-04-07,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,108000,7100,3400.00,145,14500.00
2026-04-08,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,100000,6500,3100.00,132,13200.00
2026-04-09,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,96000,6100,2900.00,118,11800.00
2026-04-10,750e8400-e29b-41d4-a716-446655440011,TechStore Instagram Stories,meta,103000,6800,3250.00,138,13800.00
2026-04-01,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,85000,4500,2550.00,72,7200.00
2026-04-02,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,87000,4650,2700.00,78,7800.00
2026-04-03,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,82000,4350,2450.00,68,6800.00
2026-04-04,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,90000,4800,2850.00,85,8500.00
2026-04-05,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,80000,4200,2350.00,65,6500.00
2026-04-06,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,92000,4950,2950.00,92,9200.00
2026-04-07,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,95000,5100,3050.00,98,9800.00
2026-04-08,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,88000,4700,2800.00,80,8000.00
2026-04-09,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,84000,4500,2650.00,74,7400.00
2026-04-10,750e8400-e29b-41d4-a716-446655440021,TechStore Retargeting Audience,meta,91000,4900,2900.00,90,9000.00
